unit,number,text,audio
unit1,1,笔记本,audio/unit1/001.mp3
unit1,2,不,audio/unit1/002.mp3
unit1,3,炒饭,audio/unit1/003.mp3
unit1,4,吃,audio/unit1/004.mp3
unit1,5,邓丽君,audio/unit1/005.mp3
unit1,6,东京,audio/unit1/006.mp3
unit1,7,汉语,audio/unit1/007.mp3
unit1,8,喝,audio/unit1/008.mp3
unit1,9,红茶,audio/unit1/009.mp3
unit1,10,饺子,audio/unit1/010.mp3
unit1,11,咖啡,audio/unit1/011.mp3
unit1,12,开车,audio/unit1/012.mp3
unit1,13,可乐,audio/unit1/013.mp3
unit1,14,课文,audio/unit1/014.mp3
unit1,15,拉面,audio/unit1/015.mp3
unit1,16,老师,audio/unit1/016.mp3
unit1,17,练习,audio/unit1/017.mp3
unit1,18,铃木,audio/unit1/018.mp3
unit1,19,刘文正,audio/unit1/019.mp3
unit1,20,吗,audio/unit1/020.mp3
unit1,21,们,audio/unit1/021.mp3
unit1,22,你们,audio/unit1/022.mp3
unit1,23,您,audio/unit1/023.mp3
unit1,24,牛奶,audio/unit1/024.mp3
unit1,25,啤酒,audio/unit1/025.mp3
unit1,26,普通话,audio/unit1/026.mp3
unit1,27,汽水,audio/unit1/027.mp3
unit1,28,去,audio/unit1/028.mp3
unit1,29,日语,audio/unit1/029.mp3
unit1,30,生词,audio/unit1/030.mp3
unit1,31,食堂,audio/unit1/031.mp3
unit1,32,说,audio/unit1/032.mp3
unit1,33,酸奶,audio/unit1/033.mp3
unit1,34,他,audio/unit1/034.mp3
unit1,35,她,audio/unit1/035.mp3
unit1,36,太极拳,audio/unit1/036.mp3
unit1,37,他们,audio/unit1/037.mp3
unit1,38,她们,audio/unit1/038.mp3
unit1,39,它们,audio/unit1/039.mp3
unit1,40,汤,audio/unit1/040.mp3
unit1,41,汤姆,audio/unit1/041.mp3
unit1,42,图书馆,audio/unit1/042.mp3
unit1,43,我,audio/unit1/043.mp3
unit1,44,我们,audio/unit1/044.mp3
unit1,45,学,audio/unit1/045.mp3
unit1,46,要,audio/unit1/046.mp3
unit1,47,英语,audio/unit1/047.mp3
unit1,48,饮料,audio/unit1/048.mp3
unit1,49,佐藤,audio/unit1/049.mp3
unit1,50,爸爸,audio/unit1/050.mp3
unit1,51,大家,audio/unit1/051.mp3
unit1,52,大熊猫,audio/unit1/052.mp3
unit1,53,大学,audio/unit1/053.mp3
unit1,54,的,audio/unit1/054.mp3
unit1,55,多,audio/unit1/055.mp3
unit1,56,高兴,audio/unit1/056.mp3
unit1,57,狗,audio/unit1/057.mp3
unit1,58,贵姓,audio/unit1/058.mp3
unit1,59,好,audio/unit1/059.mp3
unit1,60,很,audio/unit1/060.mp3
unit1,61,华生,audio/unit1/061.mp3
unit1,62,家,audio/unit1/062.mp3
unit1,63,叫,audio/unit1/063.mp3
unit1,64,课本,audio/unit1/064.mp3
unit1,65,李小龙,audio/unit1/065.mp3
unit1,66,猫,audio/unit1/066.mp3
unit1,67,毛毛,audio/unit1/067.mp3
unit1,68,咪咪,audio/unit1/068.mp3
unit1,69,名字,audio/unit1/069.mp3
unit1,70,那,audio/unit1/070.mp3
unit1,71,你好,audio/unit1/071.mp3
unit1,72,朋友,audio/unit1/072.mp3
unit1,73,请,audio/unit1/073.mp3
unit1,74,人工智能,audio/unit1/074.mp3
unit1,75,认识,audio/unit1/075.mp3
unit1,76,日本,audio/unit1/076.mp3
unit1,77,日本人,audio/unit1/077.mp3
unit1,78,什么,audio/unit1/078.mp3
unit1,79,是,audio/unit1/079.mp3
unit1,80,书,audio/unit1/080.mp3
unit1,81,书包,audio/unit1/081.mp3
unit1,82,同学,audio/unit1/082.mp3
unit1,83,香香,audio/unit1/083.mp3
unit1,84,姓,audio/unit1/084.mp3
unit1,85,学生,audio/unit1/085.mp3
unit1,86,优子,audio/unit1/086.mp3
unit1,87,这,audio/unit1/087.mp3
unit1,88,指教,audio/unit1/088.mp3
unit1,89,中国,audio/unit1/089.mp3
unit1,90,中国人,audio/unit1/090.mp3
unit1,91,报纸,audio/unit1/091.mp3
unit1,92,笔,audio/unit1/092.mp3
unit1,93,词典,audio/unit1/093.mp3
unit1,94,德语,audio/unit1/094.mp3
unit1,95,电子词典,audio/unit1/095.mp3
unit1,96,豆浆,audio/unit1/096.mp3
unit1,97,俄语,audio/unit1/097.mp3
unit1,98,法语,audio/unit1/098.mp3
unit1,99,韩语,audio/unit1/099.mp3
unit1,100,汉英词典,audio/unit1/100.mp3
unit1,101,李英,audio/unit1/101.mp3
unit1,102,留学生,audio/unit1/102.mp3
unit1,103,呢,audio/unit1/103.mp3
unit1,104,噢,audio/unit1/104.mp3
unit1,105,谁,audio/unit1/105.mp3
unit1,106,手机,audio/unit1/106.mp3
unit1,107,小林,audio/unit1/107.mp3
unit1,108,西班牙语,audio/unit1/108.mp3
unit1,109,谢谢,audio/unit1/109.mp3
unit1,110,眼镜,audio/unit1/110.mp3
unit1,111,噫,audio/unit1/111.mp3
unit1,112,啊,audio/unit1/112.mp3
unit1,113,啊,audio/unit1/113.mp3
unit1,114,白,audio/unit1/114.mp3
unit1,115,蹦蹦跳跳,audio/unit1/115.mp3
unit1,116,长,audio/unit1/116.mp3
unit1,117,胆子,audio/unit1/117.mp3
unit1,118,短,audio/unit1/118.mp3
unit1,119,耳朵,audio/unit1/119.mp3
unit1,120,发音,audio/unit1/120.mp3
unit1,121,非常,audio/unit1/121.mp3
unit1,122,工作,audio/unit1/122.mp3
unit1,123,还,audio/unit1/123.mp3
unit1,124,好,audio/unit1/124.mp3
unit1,125,红,audio/unit1/125.mp3
unit1,126,见,audio/unit1/126.mp3
unit1,127,家务,audio/unit1/127.mp3
unit1,128,今天,audio/unit1/128.mp3
unit1,129,久,audio/unit1/129.mp3
unit1,130,可以,audio/unit1/130.mp3
unit1,131,了,audio/unit1/131.mp3
unit1,132,凉快,audio/unit1/132.mp3
unit1,133,忙,audio/unit1/133.mp3
unit1,134,毛衫,audio/unit1/134.mp3
unit1,135,难,audio/unit1/135.mp3
unit1,136,暖和,audio/unit1/136.mp3
unit1,137,热,audio/unit1/137.mp3
unit1,138,人,audio/unit1/138.mp3
unit1,139,太,audio/unit1/139.mp3
unit1,140,天气,audio/unit1/140.mp3
unit1,141,田中,audio/unit1/141.mp3
unit1,142,尾巴,audio/unit1/142.mp3
unit1,143,小,audio/unit1/143.mp3
unit1,144,喜欢,audio/unit1/144.mp3
unit1,145,学习,audio/unit1/145.mp3
unit1,146,眼睛,audio/unit1/146.mp3
unit1,147,也,audio/unit1/147.mp3
unit1,148,有意思,audio/unit1/148.mp3
unit1,149,语法,audio/unit1/149.mp3
unit1,150,怎么样,audio/unit1/150.mp3
unit1,151,最近,audio/unit1/151.mp3
unit2,1,弟弟,audio/unit2/001.mp3
unit2,2,都,audio/unit2/002.mp3
unit2,3,多大,audio/unit2/003.mp3
unit2,4,儿子,audio/unit2/004.mp3
unit2,5,个,audio/unit2/005.mp3
unit2,6,哥哥,audio/unit2/006.mp3
unit2,7,孩子,audio/unit2/007.mp3
unit2,8,和,audio/unit2/008.mp3
unit2,9,几,audio/unit2/009.mp3
unit2,10,姐姐,audio/unit2/010.mp3
unit2,11,今年,audio/unit2/011.mp3
unit2,12,可爱,audio/unit2/012.mp3
unit2,13,口,audio/unit2/013.mp3
unit2,14,妈妈,audio/unit2/014.mp3
unit2,15,没,audio/unit2/015.mp3
unit2,16,妹妹,audio/unit2/016.mp3
unit2,17,摩托车,audio/unit2/017.mp3
unit2,18,汽车,audio/unit2/018.mp3
unit2,19,岁,audio/unit2/019.mp3
unit2,20,岁数,audio/unit2/020.mp3
unit2,21,相机,audio/unit2/021.mp3
unit2,22,兄弟姐妹,audio/unit2/022.mp3
unit2,23,爷爷,audio/unit2/023.mp3
unit2,24,有,audio/unit2/024.mp3
unit2,25,赵朋,audio/unit2/025.mp3
unit2,26,真,audio/unit2/026.mp3
unit2,27,侄子,audio/unit2/027.mp3
unit2,28,自行车,audio/unit2/028.mp3
unit2,29,不错,audio/unit2/029.mp3
unit2,30,唱,audio/unit2/030.mp3
unit2,31,重阳节,audio/unit2/031.mp3
unit2,32,春节,audio/unit2/032.mp3
unit2,33,打,audio/unit2/033.mp3
unit2,34,端午节,audio/unit2/034.mp3
unit2,35,对,audio/unit2/035.mp3
unit2,36,儿童节,audio/unit2/036.mp3
unit2,37,饭,audio/unit2/037.mp3
unit2,38,歌,audio/unit2/038.mp3
unit2,39,国庆节,audio/unit2/039.mp3
unit2,40,号,audio/unit2/040.mp3
unit2,41,KTV,audio/unit2/041.mp3
unit2,42,开,audio/unit2/042.mp3
unit2,43,课,audio/unit2/043.mp3
unit2,44,聊天,audio/unit2/044.mp3
unit2,45,明年,audio/unit2/045.mp3
unit2,46,明天,audio/unit2/046.mp3
unit2,47,那,audio/unit2/047.mp3
unit2,48,哪一天,audio/unit2/048.mp3
unit2,49,派对,audio/unit2/049.mp3
unit2,50,排球,audio/unit2/050.mp3
unit2,51,清明节,audio/unit2/051.mp3
unit2,52,情人节,audio/unit2/052.mp3
unit2,53,上,audio/unit2/053.mp3
unit2,54,上,audio/unit2/054.mp3
unit2,55,上学,audio/unit2/055.mp3
unit2,56,圣诞节,audio/unit2/056.mp3
unit2,57,生日,audio/unit2/057.mp3
unit2,58,体育馆,audio/unit2/058.mp3
unit2,59,下,audio/unit2/059.mp3
unit2,60,星期,audio/unit2/060.mp3
unit2,61,邀请,audio/unit2/061.mp3
unit2,62,一起,audio/unit2/062.mp3
unit2,63,元旦,audio/unit2/063.mp3
unit2,64,月,audio/unit2/064.mp3
unit2,65,中秋节,audio/unit2/065.mp3
unit2,66,北海道,audio/unit2/066.mp3
unit2,67,本,audio/unit2/067.mp3
unit2,68,餐厅,audio/unit2/068.mp3
unit2,69,抽屉,audio/unit2/069.mp3
unit2,70,大通,audio/unit2/070.mp3
unit2,71,电脑,audio/unit2/071.mp3
unit2,72,电视塔,audio/unit2/072.mp3
unit2,73,东边,audio/unit2/073.mp3
unit2,74,对面,audio/unit2/074.mp3
unit2,75,房间,audio/unit2/075.mp3
unit2,76,附近,audio/unit2/076.mp3
unit2,77,公园,audio/unit2/077.mp3
unit2,78,酒店,audio/unit2/078.mp3
unit2,79,巨蛋,audio/unit2/079.mp3
unit2,80,咖啡店,audio/unit2/080.mp3
unit2,81,里,audio/unit2/081.mp3
unit2,82,里边儿,audio/unit2/082.mp3
unit2,83,那儿,audio/unit2/083.mp3
unit2,84,哪儿,audio/unit2/084.mp3
unit2,85,旁边儿,audio/unit2/085.mp3
unit2,86,前,audio/unit2/086.mp3
unit2,87,前边儿,audio/unit2/087.mp3
unit2,88,书架,audio/unit2/088.mp3
unit2,89,台,audio/unit2/089.mp3
unit2,90,外边儿,audio/unit2/090.mp3
unit2,91,小卖部,audio/unit2/091.mp3
unit2,92,洗手间,audio/unit2/092.mp3
unit2,93,钥匙,audio/unit2/093.mp3
unit2,94,银行,audio/unit2/094.mp3
unit2,95,邮局,audio/unit2/095.mp3
unit2,96,在,audio/unit2/096.mp3
unit2,97,札幌,audio/unit2/097.mp3
unit2,98,张,audio/unit2/098.mp3
unit2,99,照片,audio/unit2/099.mp3
unit2,100,这里,audio/unit2/100.mp3
unit2,101,这儿,audio/unit2/101.mp3
unit2,102,中间,audio/unit2/102.mp3
unit2,103,钟楼,audio/unit2/103.mp3
unit2,104,桌子,audio/unit2/104.mp3
unit2,105,吧,audio/unit2/105.mp3
unit2,106,半,audio/unit2/106.mp3
unit2,107,杯,audio/unit2/107.mp3
unit2,108,便利店,audio/unit2/108.mp3
unit2,109,必修,audio/unit2/109.mp3
unit2,110,参加,audio/unit2/110.mp3
unit2,111,差,audio/unit2/111.mp3
unit2,112,打工,audio/unit2/112.mp3
unit2,113,第一,audio/unit2/113.mp3
unit2,114,点,audio/unit2/114.mp3
unit2,115,分,audio/unit2/115.mp3
unit2,116,份,audio/unit2/116.mp3
unit2,117,根,audio/unit2/117.mp3
unit2,118,果汁,audio/unit2/118.mp3
unit2,119,黑,audio/unit2/119.mp3
unit2,120,煎,audio/unit2/120.mp3
unit2,121,鸡蛋,audio/unit2/121.mp3
unit2,122,节,audio/unit2/122.mp3
unit2,123,开始,audio/unit2/123.mp3
unit2,124,看,audio/unit2/124.mp3
unit2,125,刻,audio/unit2/125.mp3
unit2,126,来,audio/unit2/126.mp3
